speaker,transcription,start_time,end_time
SPEAKER_03,показывала уже власть разную гусей кур кроликов коз мы все помним мем про козу бизнесвумен,0.031,8.199
SPEAKER_03,вот так появляется бизнесмен вот она будущий бизнесмен знаю где этого стоят придурок человек толку не будет не то с молодец молодец матье грант дадим если станешь бизнес-вуман и на этих кадрах среди толпы репортёров,8.688,26.424
SPEAKER_00,за,20.348,21.174999999999997
SPEAKER_00,торопливо же вот блин владимир вольфович ров и просто генерировал из ниоткуда,25.276,31.165
SPEAKER_00,никакой сценарий такого не придумает просто по приколу блин ты такая уварить мне херню выдумывать блин тогда где-то там с отцом,31.705,41.257
SPEAKER_00,так сказать вот он домашний на верёвке депутатов мужики,41.257,48.614000000000004
SPEAKER_00,так сказать вот он домашний на верёвке депутатов мужики,41.257,48.614000000000004
SPEAKER_01,более того можно посмотреть когда я пошёл на выборы северной осетии специально чтобы доказать и показать что я могу,48.732,57.068
SPEAKER_02,такой малый бизнес какие какая демография какое сельское хозяйство и все на все вокруг отравлено,57.136,65.438
SPEAKER_01,и вот шесть лет назад на сети мы набрали тридцать пять процентов,65.438,69.049
